Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Compass
284,2024-04-28 00:44:43.995326,17.107530303090893,142.4014790590793,32.4,30.1,992.8,352.8
284,2024-04-28 00:44:45.017056,17.057013143099386,142.4420046998303,33.4,30.3,992.8,352.8
285,2024-04-28 00:44:45.036580,17.055960958403684,142.44284843653267,33.2,30.1,992.8,352.8
285,2024-04-28 00:44:46.057884,17.005467862744197,142.48332200115482,32.4,29.9,992.8,352.8
286,2024-04-28 00:44:46.076771,17.004464485349953,142.48412595036652,33.4,28.9,992.8,352.8
286,2024-04-28 00:44:47.099193,16.95393445833705,142.52459648714796,32.7,30.3,992.7,352.8
287,2024-04-28 00:44:47.116989,16.95288635550334,142.52543559636345,32.7,29.5,992.7,352.8
287,2024-04-28 00:44:48.153824,16.902407979443872,142.56583228088485,32.8,30.0,992.7,352.9
288,2024-04-28 00:44:48.197244,16.900329677133833,142.5674948186672,32.8,30.0,992.7,352.9
288,2024-04-28 00:44:49.218538,16.84891018655415,142.60861076478704,32.8,30.0,992.8,352.9
289,2024-04-28 00:44:49.237915,16.84789831976593,142.60941954284507,32.8,30.0,992.8,352.9
289,2024-04-28 00:44:50.260187,16.797333535894207,142.64981950582916,32.8,30.1,992.8,352.9
290,2024-04-28 00:44:50.281066,16.796297036830566,142.6506473119221,33.0,29.9,992.8,352.9
290,2024-04-28 00:44:51.303201,16.745632686725312,142.69109457627337,32.8,29.9,992.8,352.9
291,2024-04-28 00:44:51.323537,16.74459256166893,142.69192461695434,32.5,30.7,992.8,353.0
291,2024-04-28 00:44:52.344920,16.69397066209483,142.73230588540358,33.2,30.0,992.8,353.0
292,2024-04-28 00:44:52.364443,16.69297832001528,142.73309716681905,33.2,29.3,992.8,353.0
292,2024-04-28 00:44:53.404117,16.642323878249623,142.7734724364682,33.3,30.1,992.8,353.0
293,2024-04-28 00:44:53.439685,16.640161582765707,142.77519524727802,33.3,30.1,992.8,353.0
293,2024-04-28 00:44:54.461123,16.589037222100423,142.81591207692452,33.4,30.3,992.8,353.0
294,2024-04-28 00:44:54.478495,16.588044682311132,142.81670224880676,33.4,30.3,992.8,353.0
294,2024-04-28 00:44:55.500795,16.53750662352031,142.85692040296337,33.1,30.0,992.8,353.0
295,2024-04-28 00:44:55.519696,16.53645818458196,142.8577544233132,33.1,30.0,992.8,353.0
295,2024-04-28 00:44:56.541377,16.48586420180946,142.8979855810832,32.6,30.0,992.8,353.1
296,2024-04-28 00:44:56.561313,16.484840266964817,142.89879947237296,33.0,30.0,992.8,353.1
296,2024-04-28 00:44:57.582290,16.4341886392193,142.93904504620642,32.7,30.2,992.8,353.1
297,2024-04-28 00:44:57.601969,16.433195818685586,142.93983359103794,32.9,30.7,992.8,353.1
297,2024-04-28 00:44:58.641250,16.382500657936973,142.9800824277817,32.9,31.5,992.8,353.1
298,2024-04-28 00:44:58.674882,16.380386923197605,142.98175993744965,32.9,31.5,992.8,353.1
298,2024-04-28 00:44:59.697305,16.329272438256613,143.02230941980747,32.9,30.0,992.8,353.1
